n_parallel,n_ctx,run_id,seq_id,latency_s,speed_t_per_s,model_mib,kv_mib,compute_mib,output_mib
1,1536,1,0,16.61,1.20,2357.26,48.00,254.50,1.47
1,1536,2,0,18.26,1.10,2357.26,48.00,254.50,1.47
1,1536,3,0,16.62,1.20,2357.26,48.00,254.50,1.47
1,1536,4,0,16.62,1.20,2357.26,48.00,254.50,1.47
1,1536,5,0,14.63,1.37,2357.26,48.00,254.50,1.47
2,2560,1,0,16.67,1.20,2357.26,80.00,254.50,2.45
2,2560,1,1,23.72,0.84,2357.26,80.00,254.50,2.45
2,2560,2,0,16.66,1.20,2357.26,80.00,254.50,2.45
2,2560,2,1,23.68,0.84,2357.26,80.00,254.50,2.45
2,2560,3,0,20.36,0.98,2357.26,80.00,254.50,2.45
2,2560,3,1,22.12,0.90,2357.26,80.00,254.50,2.45
2,2560,4,0,20.20,0.99,2357.26,80.00,254.50,2.45
2,2560,4,1,23.71,0.84,2357.26,80.00,254.50,2.45
2,2560,5,0,16.81,1.19,2357.26,80.00,254.50,2.45
2,2560,5,1,22.14,0.90,2357.26,80.00,254.50,2.45
3,3584,1,1,11.18,2.06,2357.26,112.00,254.50,3.42
3,3584,1,2,20.70,0.97,2357.26,112.00,254.50,3.42
3,3584,1,0,25.98,0.77,2357.26,112.00,254.50,3.42
3,3584,2,2,14.61,1.37,2357.26,112.00,254.50,3.42
3,3584,2,0,24.14,0.83,2357.26,112.00,254.50,3.42
3,3584,2,1,25.89,0.77,2357.26,112.00,254.50,3.42
3,3584,3,0,22.43,0.89,2357.26,112.00,254.50,3.42
3,3584,3,1,26.24,0.76,2357.26,112.00,254.50,3.42
3,3584,3,2,26.24,0.76,2357.26,112.00,254.50,3.42
3,3584,4,2,18.78,1.06,2357.26,112.00,254.50,3.42
3,3584,4,0,20.70,0.97,2357.26,112.00,254.50,3.42
3,3584,4,1,25.98,0.77,2357.26,112.00,254.50,3.42
3,3584,5,0,10.82,2.13,2357.26,112.00,254.50,3.42
3,3584,5,1,26.14,0.77,2357.26,112.00,254.50,3.42
3,3584,5,2,26.15,0.76,2357.26,112.00,254.50,3.42
4,4608,1,1,16.43,1.22,2357.26,144.00,313.01,4.40
4,4608,1,0,20.53,0.97,2357.26,144.00,313.01,4.40
4,4608,1,2,28.24,0.71,2357.26,144.00,313.01,4.40
4,4608,1,3,28.24,0.71,2357.26,144.00,313.01,4.40
4,4608,2,3,12.77,1.80,2357.26,144.00,313.01,4.40
4,4608,2,2,16.89,1.18,2357.26,144.00,313.01,4.40
4,4608,2,0,22.64,0.88,2357.26,144.00,313.01,4.40
4,4608,2,1,27.92,0.72,2357.26,144.00,313.01,4.40
4,4608,3,1,21.03,0.95,2357.26,144.00,313.01,4.40
4,4608,3,2,21.03,0.95,2357.26,144.00,313.01,4.40
4,4608,3,3,21.04,0.95,2357.26,144.00,313.01,4.40
4,4608,3,0,28.12,0.71,2357.26,144.00,313.01,4.40
4,4608,4,1,16.52,1.21,2357.26,144.00,313.01,4.40
4,4608,4,2,20.62,0.78,2357.26,144.00,313.01,4.40
4,4608,4,0,22.55,0.89,2357.26,144.00,313.01,4.40
4,4608,4,3,24.31,0.82,2357.26,144.00,313.01,4.40
4,4608,5,1,12.60,1.83,2357.26,144.00,313.01,4.40
4,4608,5,0,16.70,1.20,2357.26,144.00,313.01,4.40
4,4608,5,3,24.33,0.82,2357.26,144.00,313.01,4.40
4,4608,5,2,27.85,0.72,2357.26,144.00,313.01,4.40
5,5632,1,1,14.49,1.59,2357.26,176.00,379.01,5.38
5,5632,1,0,18.86,1.06,2357.26,176.00,379.01,5.38
5,5632,1,2,25.04,0.80,2357.26,176.00,379.01,5.38
5,5632,1,4,25.04,0.80,2357.26,176.00,379.01,5.38
5,5632,1,3,26.81,0.75,2357.26,176.00,379.01,5.38
5,5632,2,4,13.66,1.68,2357.26,176.00,379.01,5.38
5,5632,2,1,24.58,0.81,2357.26,176.00,379.01,5.38
5,5632,2,2,24.58,0.81,2357.26,176.00,379.01,5.38
5,5632,2,0,30.36,0.66,2357.26,176.00,379.01,5.38
5,5632,2,3,30.35,0.66,2357.26,176.00,379.01,5.38
5,5632,3,4,14.17,1.62,2357.26,176.00,379.01,5.38
5,5632,3,1,18.53,1.08,2357.26,176.00,379.01,5.38
5,5632,3,3,24.69,0.81,2357.26,176.00,379.01,5.38
5,5632,3,0,28.53,0.70,2357.26,176.00,379.01,5.38
5,5632,3,2,30.31,0.66,2357.26,176.00,379.01,5.38
5,5632,4,4,13.91,1.65,2357.26,176.00,379.01,5.38
5,5632,4,3,22.63,0.88,2357.26,176.00,379.01,5.38
5,5632,4,0,24.68,0.81,2357.26,176.00,379.01,5.38
5,5632,4,2,28.51,0.70,2357.26,176.00,379.01,5.38
5,5632,4,1,30.28,0.66,2357.26,176.00,379.01,5.38
5,5632,5,2,20.03,0.75,2357.26,176.00,379.01,5.38
5,5632,5,0,24.40,0.82,2357.26,176.00,379.01,5.38
5,5632,5,3,24.40,0.82,2357.26,176.00,379.01,5.38
5,5632,5,4,24.40,0.82,2357.26,176.00,379.01,5.38
5,5632,5,1,29.71,0.67,2357.26,176.00,379.01,5.38
6,6656,1,3,16.95,1.36,2357.26,208.00,445.01,6.36
6,6656,1,5,16.95,1.36,2357.26,208.00,445.01,6.36
6,6656,1,0,21.31,0.94,2357.26,208.00,445.01,6.36
6,6656,1,1,21.31,0.94,2357.26,208.00,445.01,6.36
6,6656,1,4,21.31,0.94,2357.26,208.00,445.01,6.36
6,6656,1,2,31.88,0.63,2357.26,208.00,445.01,6.36
6,6656,2,5,24.21,0.83,2357.26,208.00,445.01,6.36
6,6656,2,2,26.52,0.75,2357.26,208.00,445.01,6.36
6,6656,2,1,28.70,0.70,2357.26,208.00,445.01,6.36
6,6656,2,3,30.75,0.65,2357.26,208.00,445.01,6.36
6,6656,2,4,30.76,0.65,2357.26,208.00,445.01,6.36
6,6656,2,0,32.54,0.61,2357.26,208.00,445.01,6.36
6,6656,3,0,16.20,1.42,2357.26,208.00,445.01,6.36
6,6656,3,4,16.20,1.42,2357.26,208.00,445.01,6.36
6,6656,3,1,27.13,0.74,2357.26,208.00,445.01,6.36
6,6656,3,5,27.13,0.74,2357.26,208.00,445.01,6.36
6,6656,3,2,30.99,0.65,2357.26,208.00,445.01,6.36
6,6656,3,3,30.99,0.65,2357.26,208.00,445.01,6.36
6,6656,4,0,15.12,1.52,2357.26,208.00,445.01,6.36
6,6656,4,2,26.61,0.75,2357.26,208.00,445.01,6.36
6,6656,4,3,26.61,0.75,2357.26,208.00,445.01,6.36
6,6656,4,4,28.66,0.63,2357.26,208.00,445.01,6.36
6,6656,4,5,28.66,0.70,2357.26,208.00,445.01,6.36
6,6656,4,1,30.45,0.66,2357.26,208.00,445.01,6.36
6,6656,5,2,26.11,0.77,2357.26,208.00,445.01,6.36
6,6656,5,3,26.11,0.77,2357.26,208.00,445.01,6.36
6,6656,5,1,30.49,0.66,2357.26,208.00,445.01,6.36
6,6656,5,0,32.55,0.61,2357.26,208.00,445.01,6.36
6,6656,5,4,32.55,0.61,2357.26,208.00,445.01,6.36
6,6656,5,5,32.55,0.61,2357.26,208.00,445.01,6.36
7,7680,1,0,26.20,0.76,2357.26,240.00,511.01,7.34
7,7680,1,4,26.19,0.76,2357.26,240.00,511.01,7.34
7,7680,1,5,26.20,0.76,2357.26,240.00,511.01,7.34
7,7680,1,1,28.39,0.70,2357.26,240.00,511.01,7.34
7,7680,1,2,32.50,0.62,2357.26,240.00,511.01,7.34
7,7680,1,3,34.42,0.58,2357.26,240.00,511.01,7.34
7,7680,1,6,34.42,0.58,2357.26,240.00,511.01,7.34
7,7680,2,5,17.14,1.34,2357.26,240.00,511.01,7.34
7,7680,2,1,22.02,0.91,2357.26,240.00,511.01,7.34
7,7680,2,2,24.33,0.62,2357.26,240.00,511.01,7.34
7,7680,2,3,28.70,0.70,2357.26,240.00,511.01,7.34
7,7680,2,4,28.70,0.70,2357.26,240.00,511.01,7.34
7,7680,2,0,30.64,0.65,2357.26,240.00,511.01,7.34
7,7680,2,6,30.63,0.65,2357.26,240.00,511.01,7.34
7,7680,3,5,16.81,1.37,2357.26,240.00,511.01,7.34
7,7680,3,1,26.48,0.76,2357.26,240.00,511.01,7.34
7,7680,3,6,26.47,0.76,2357.26,240.00,511.01,7.34
7,7680,3,3,28.65,0.70,2357.26,240.00,511.01,7.34
7,7680,3,4,30.69,0.65,2357.26,240.00,511.01,7.34
7,7680,3,2,32.60,0.61,2357.26,240.00,511.01,7.34
7,7680,3,0,34.36,0.58,2357.26,240.00,511.01,7.34
7,7680,4,5,18.17,1.27,2357.26,240.00,511.01,7.34
7,7680,4,6,18.17,1.27,2357.26,240.00,511.01,7.34
7,7680,4,4,22.78,0.88,2357.26,240.00,511.01,7.34
7,7680,4,0,27.16,0.74,2357.26,240.00,511.01,7.34
7,7680,4,1,29.22,0.68,2357.26,240.00,511.01,7.34
7,7680,4,2,31.13,0.64,2357.26,240.00,511.01,7.34
7,7680,4,3,31.14,0.64,2357.26,240.00,511.01,7.34
7,7680,5,4,16.53,1.39,2357.26,240.00,511.01,7.34
7,7680,5,1,21.43,0.93,2357.26,240.00,511.01,7.34
7,7680,5,3,30.70,0.59,2357.26,240.00,511.01,7.34
7,7680,5,6,30.70,0.65,2357.26,240.00,511.01,7.34
7,7680,5,2,32.77,0.61,2357.26,240.00,511.01,7.34
7,7680,5,0,34.71,0.58,2357.26,240.00,511.01,7.34
7,7680,5,5,34.71,0.58,2357.26,240.00,511.01,7.34
8,8704,1,4,16.38,1.40,2357.26,272.00,577.01,8.32
8,8704,1,1,21.55,0.93,2357.26,272.00,577.01,8.32
8,8704,1,5,21.55,0.93,2357.26,272.00,577.01,8.32
8,8704,1,3,28.51,0.70,2357.26,272.00,577.01,8.32
8,8704,1,6,30.70,0.65,2357.26,272.00,577.01,8.32
8,8704,1,7,32.77,0.61,2357.26,272.00,577.01,8.32
8,8704,1,0,34.72,0.58,2357.26,272.00,577.01,8.32
8,8704,1,2,34.72,0.58,2357.26,272.00,577.01,8.32
8,8704,2,1,19.54,1.02,2357.26,272.00,577.01,8.32
8,8704,2,2,24.69,0.81,2357.26,272.00,577.01,8.32
8,8704,2,4,27.12,0.74,2357.26,272.00,577.01,8.32
8,8704,2,5,27.12,0.74,2357.26,272.00,577.01,8.32
8,8704,2,6,29.31,0.68,2357.26,272.00,577.01,8.32
8,8704,2,7,29.31,0.68,2357.26,272.00,577.01,8.32
8,8704,2,0,31.24,0.64,2357.26,272.00,577.01,8.32
8,8704,2,3,33.00,0.61,2357.26,272.00,577.01,8.32
8,8704,3,5,19.44,1.03,2357.26,272.00,577.01,8.32
8,8704,3,7,19.44,0.72,2357.26,272.00,577.01,8.32
8,8704,3,0,26.78,0.75,2357.26,272.00,577.01,8.32
8,8704,3,1,26.79,0.75,2357.26,272.00,577.01,8.32
8,8704,3,2,26.79,0.63,2357.26,272.00,577.01,8.32
8,8704,3,3,26.79,0.75,2357.26,272.00,577.01,8.32
8,8704,3,6,26.79,0.75,2357.26,272.00,577.01,8.32
8,8704,3,4,28.57,0.70,2357.26,272.00,577.01,8.32
8,8704,4,4,16.02,1.44,2357.26,272.00,577.01,8.32
8,8704,4,7,21.13,0.95,2357.26,272.00,577.01,8.32
8,8704,4,1,28.44,0.70,2357.26,272.00,577.01,8.32
8,8704,4,5,28.43,0.70,2357.26,272.00,577.01,8.32
8,8704,4,6,28.44,0.70,2357.26,272.00,577.01,8.32
8,8704,4,2,32.54,0.61,2357.26,272.00,577.01,8.32
8,8704,4,0,34.46,0.58,2357.26,272.00,577.01,8.32
8,8704,4,3,34.46,0.58,2357.26,272.00,577.01,8.32
8,8704,5,3,16.17,1.42,2357.26,272.00,577.01,8.32
8,8704,5,2,26.42,0.76,2357.26,272.00,577.01,8.32
8,8704,5,0,28.86,0.69,2357.26,272.00,577.01,8.32
8,8704,5,4,28.85,0.69,2357.26,272.00,577.01,8.32
8,8704,5,7,28.85,0.69,2357.26,272.00,577.01,8.32
8,8704,5,1,30.92,0.65,2357.26,272.00,577.01,8.32
8,8704,5,5,30.91,0.65,2357.26,272.00,577.01,8.32
8,8704,5,6,34.44,0.58,2357.26,272.00,577.01,8.32
9,9728,1,1,18.49,1.24,2357.26,304.00,643.01,9.30
9,9728,1,2,18.50,1.24,2357.26,304.00,643.01,9.30
9,9728,1,4,23.62,0.85,2357.26,304.00,643.01,9.30
9,9728,1,5,23.63,0.85,2357.26,304.00,643.01,9.30
9,9728,1,6,28.23,0.71,2357.26,304.00,643.01,9.30
9,9728,1,0,32.62,0.55,2357.26,304.00,643.01,9.30
9,9728,1,3,34.66,0.58,2357.26,304.00,643.01,9.30
9,9728,1,7,34.66,0.58,2357.26,304.00,643.01,9.30
9,9728,1,8,36.42,0.55,2357.26,304.00,643.01,9.30
9,9728,2,0,18.64,1.23,2357.26,304.00,643.01,9.30
9,9728,2,6,18.63,1.23,2357.26,304.00,643.01,9.30
9,9728,2,3,23.78,0.84,2357.26,304.00,643.01,9.30
9,9728,2,7,23.77,0.84,2357.26,304.00,643.01,9.30
9,9728,2,4,33.01,0.61,2357.26,304.00,643.01,9.30
9,9728,2,8,33.01,0.61,2357.26,304.00,643.01,9.30
9,9728,2,2,35.07,0.57,2357.26,304.00,643.01,9.30
9,9728,2,1,37.00,0.54,2357.26,304.00,643.01,9.30
9,9728,2,5,36.99,0.54,2357.26,304.00,643.01,9.30
9,9728,3,0,21.83,0.92,2357.26,304.00,643.01,9.30
9,9728,3,1,21.84,0.92,2357.26,304.00,643.01,9.30
9,9728,3,7,26.95,0.74,2357.26,304.00,643.01,9.30
9,9728,3,4,29.39,0.68,2357.26,304.00,643.01,9.30
9,9728,3,5,29.39,0.68,2357.26,304.00,643.01,9.30
9,9728,3,2,31.58,0.63,2357.26,304.00,643.01,9.30
9,9728,3,6,31.57,0.63,2357.26,304.00,643.01,9.30
9,9728,3,3,33.49,0.60,2357.26,304.00,643.01,9.30
9,9728,3,8,33.49,0.60,2357.26,304.00,643.01,9.30
9,9728,4,1,21.38,0.94,2357.26,304.00,643.01,9.30
9,9728,4,7,21.38,0.94,2357.26,304.00,643.01,9.30
9,9728,4,3,23.96,0.63,2357.26,304.00,643.01,9.30
9,9728,4,2,28.84,0.69,2357.26,304.00,643.01,9.30
9,9728,4,4,28.84,0.69,2357.26,304.00,643.01,9.30
9,9728,4,5,28.84,0.69,2357.26,304.00,643.01,9.30
9,9728,4,6,32.95,0.61,2357.26,304.00,643.01,9.30
9,9728,4,0,34.89,0.57,2357.26,304.00,643.01,9.30
9,9728,4,8,34.87,0.57,2357.26,304.00,643.01,9.30
9,9728,5,2,17.71,1.30,2357.26,304.00,643.01,9.30
9,9728,5,4,21.74,0.92,2357.26,304.00,643.01,9.30
9,9728,5,0,26.88,0.60,2357.26,304.00,643.01,9.30
9,9728,5,6,26.87,0.74,2357.26,304.00,643.01,9.30
9,9728,5,8,26.87,0.74,2357.26,304.00,643.01,9.30
9,9728,5,3,31.24,0.64,2357.26,304.00,643.01,9.30
9,9728,5,5,31.24,0.64,2357.26,304.00,643.01,9.30
9,9728,5,7,33.16,0.60,2357.26,304.00,643.01,9.30
9,9728,5,1,34.94,0.57,2357.26,304.00,643.01,9.30
10,10752,1,7,19.96,1.15,2357.26,336.00,709.01,10.27
10,10752,1,9,19.97,1.15,2357.26,336.00,709.01,10.27
10,10752,1,0,24.01,0.83,2357.26,336.00,709.01,10.27
10,10752,1,8,31.67,0.63,2357.26,336.00,709.01,10.27
10,10752,1,2,34.12,0.59,2357.26,336.00,709.01,10.27
10,10752,1,3,34.12,0.59,2357.26,336.00,709.01,10.27
10,10752,1,5,34.12,0.59,2357.26,336.00,709.01,10.27
10,10752,1,4,36.17,0.55,2357.26,336.00,709.01,10.27
10,10752,1,1,38.10,0.52,2357.26,336.00,709.01,10.27
10,10752,1,6,38.09,0.53,2357.26,336.00,709.01,10.27
